"State","Crop_Year","Crop","Area","Production","Fertilizer","Pesticide","Yield","Annual_Rainfall","Region"
"Assam",2001,"Rice",2536421,3854248,259044676.75,659469.46,1.509130435,1824.7,"North-east"
"Chhattisgarh",2001,"Rice",3810112,5073721,389126738.6,990629.12,1.34375,1550,"Central"
"Delhi",2001,"Rice",6405,12063,654142.65,1665.3,1.88,611.9,"North"
"Gujarat",2001,"Rice",667800,1040200,68202414,173628,2.2342857145,666.5,"West"
"Haryana",2001,"Rice",1027505,2726000,104939085.6,267151.3,2.645555556,483.8,"North"
"Karnataka",2001,"Rice",1417724,3234045,144792152.11,368608.24,2.14410970033333,1002.9,"South"
"Kerala",2001,"Rice",322368,703504,32923443.84,83815.68,2.063974359,2946.7,"South"
"Madhya Pradesh",2001,"Rice",1766150,1685799,180376899.5,459199,0.849333333,955,"Central"
"Maharashtra",2001,"Rice",1514000,2651200,154624820,393640,1.7269375,1035.8,"West"
"Manipur",2001,"Rice",162570,387270,16603274.1,42268.2,2.234444444,2013.1,"North-east"
"Meghalaya",2001,"Rice",107761,188971,11005630.93,28017.86,1.751428571,4241,"North-east"
"Mizoram",2001,"Rice",55880,105713,5707024.4,14528.8,1.825,2406.4,"North-east"
"Nagaland",2001,"Rice",156500,237000,15983345,40690,1.6225,1532,"North-east"
"Odisha",2001,"Rice",4500000,7220000,459585000,1170000,1.583666667,1672.5,"East"
"Puducherry",2001,"Rice",26263,66868,2682240.19,6828.38,2.415,1434.5875,"South"
"Punjab",2001,"Rice",2487000,8816000,253997310,646620,3.517058824,479.3,"North"
"Tamil Nadu",2001,"Rice",2059878,6583630,210375340.1,535568.28,3.532857143,481.3,"South"
"Telangana",2001,"Rice",3824747,11389791,390621411.1,994434.22,2.826590909,928.4,"South"
"Tripura",2001,"Rice",246750,587390,25200577.5,64155,2.28,2284.4,"North-east"
"Uttar Pradesh",2001,"Rice",6071325,12855857,620064422.27,1578544.5,2.0569323675,849.9,"North"
"West Bengal",2001,"Rice",5503087,13815548,562030275.34,1430802.62,2.37294117633333,1556.6,"East"
"Himachal Pradesh",2001,"Rice",80579,137418,8229533.27,20950.54,1.654545455,918.1,"North"
"Jammu and Kashmir",2001,"Rice",249830,422298,25515137.9,64955.8,1.634166667,953.8,"North"
"Bihar",2001,"Rice",3564539,5301221,364046368.05,926780.14,1.43345609233333,1247,"East"
"Uttarakhand",2001,"Rice",284577,579517,29063849.01,73990.02,1.935480769,1541.3,"North"
"Jharkhand",2001,"Rice",0,0,0,0,0,0,"East"
"Arunachal Pradesh",2001,"Rice",119455,134621,12199939.15,31058.3,1.135384615,2128.5,"North-east"
"Goa",2001,"Rice",49383,126523,5043485.79,12839.58,2.63,2530.6,"West"
"Sikkim",2001,"Rice",14900,21372,1521737,3874,1.4275,2372.5,"North-east"
"Andhra Pradesh",2002,"Rice",2822067,7326786,267165082.92,705516.75,2.3681818185,648.1,"South"
"Assam",2002,"Rice",2540680,3737802,240526175.65,635170,1.472173913,1973.6,"North-east"
"Chhattisgarh",2002,"Rice",3777661,2634853,357631166.9,944415.25,0.710625,1001.4,"Central"
"Delhi",2002,"Rice",6096,12907,577108.32,1524,2.12,593.6,"North"
"Gujarat",2002,"Rice",480800,596400,45517336,120200,2.8696153845,458.4,"West"
"Haryana",2002,"Rice",905651,2468000,85737980.17,226412.75,2.495,353.9,"North"
"Karnataka",2002,"Rice",1154783,2390085,109323306.61,288695.75,2.13795061733333,860.8,"South"
"Kerala",2002,"Rice",310521,688859,29397023.07,77630.25,2.15549450566667,2511.2,"South"
"Madhya Pradesh",2002,"Rice",1671107,1024930,158203699.7,417776.75,0.608,800.8,"Central"
"Maharashtra",2002,"Rice",1523300,1854100,144210811,380825,1.58915625,967.4,"West"
"Manipur",2002,"Rice",153110,335700,14494923.7,38277.5,2.034444444,1743.7,"North-east"
"Meghalaya",2002,"Rice",107742,190937,10199935.14,26935.5,1.767142857,4355.3,"North-east"
"Mizoram",2002,"Rice",57067,109205,5402532.89,14266.75,1.89,2627,"North-east"
"Nagaland",2002,"Rice",150000,223400,14200500,37500,1.46375,1536.6,"North-east"
"Odisha",2002,"Rice",4273000,3278000,404524910,1068250,0.753333333,1102.8,"East"
"Puducherry",2002,"Rice",24142,57514,2285523.14,6035.5,2.56,1434.5875,"South"
"Punjab",2002,"Rice",2530000,8880000,239515100,632500,3.438823529,301.8,"North"
"Tamil Nadu",2002,"Rice",1516537,3577108,143570557.8,379134.25,2.884642857,315.9,"South"
"Telangana",2002,"Rice",2822067,7326786,267165082.92,705516.75,2.3681818185,648.1,"South"
"Tripura",2002,"Rice",255270,602410,24166410.9,63817.5,2.255,2579.8,"North-east"
"Uttar Pradesh",2002,"Rice",5213429,9596346,493555323.44,1303357.25,1.863447205,664,"North"
"West Bengal",2002,"Rice",5842127,14389238,553074163.15,1460531.75,2.35407407433333,1629.1,"East"
"Himachal Pradesh",2002,"Rice",83273,85653,7883454.91,20818.25,1.133636364,890.8,"North"
"Jammu and Kashmir",2002,"Rice",236199,421457,22360959.33,59049.75,1.708333333,933.2,"North"
"Bihar",2002,"Rice",3584701,5085566,339363643.66,896175.25,1.34405915766667,1105.8,"East"
"Uttarakhand",2002,"Rice",275309,523175,26063503.03,68827.25,2.130769231,1610.3,"North"
"Jharkhand",2002,"Rice",1059018.29,1063090,100257261.52,264754.5725,1.2894444445,1041.2,"East"
"Arunachal Pradesh",2002,"Rice",124584,152500,11794367.28,31146,1.182666667,2832.8,"North-east"
"Goa",2002,"Rice",50169,134767,4749499.23,12542.25,2.695,2516.3,"West"
"Sikkim",2002,"Rice",14790,21220,1400169.3,3697.5,1.4325,2496.2,"North-east"
"Andhra Pradesh",2003,"Rice",2974638,8952802,294429669.22,713913.12,2.7,826,"South"
"Assam",2003,"Rice",2529826,3880934,250402177.44,607158.24,1.41043478233333,2213.7,"North-east"
"Chhattisgarh",2003,"Rice",3828992,5567644,378993628.2,918958.08,1.4375,1643.7,"Central"
"Delhi",2003,"Rice",6549,17909,648220.02,1571.76,2.73,962.3,"North"
"Gujarat",2003,"Rice",675300,1277000,66841194,162072,2.639107143,902.5,"West"
"Haryana",2003,"Rice",1015191,2790000,100483605.2,243645.84,2.733333333,592.3,"North"
"Karnataka",2003,"Rice",1073899,2550399,106294523.02,257735.76,2.96737777766667,867.6,"South"
"Kerala",2003,"Rice",287340,570045,28440913.2,68961.6,1.98216117233333,2386,"South"
"Madhya Pradesh",2003,"Rice",1708583,1743430,169115545.3,410059.92,0.997916667,1163,"Central"
"Maharashtra",2003,"Rice",1529900,2834100,151429502,367176,1.7246290325,1037.4,"West"
"Manipur",2003,"Rice",157830,381240,15622013.4,37879.2,2.305555556,687.7,"North-east"
"Meghalaya",2003,"Rice",109721,200703,10860184.58,26333.04,1.798571429,3321.3,"North-east"
"Mizoram",2003,"Rice",59196,114630,5859220.08,14207.04,1.925,2499.5,"North-east"
"Nagaland",2003,"Rice",156000,222990,15440880,37440,1.6525,1709.8,"North-east"
"Odisha",2003,"Rice",4501000,6801000,445508980,1080240,1.516333333,1648.2,"East"
"Puducherry",2003,"Rice",25065,67003,2480933.7,6015.6,2.993333333,1434.5875,"South"
"Punjab",2003,"Rice",2614000,9656000,258733720,627360,3.678235294,451.7,"North"
"Tamil Nadu",2003,"Rice",1396651,3222776,138240516,335196.24,2.728214286,345.6,"South"
"Telangana",2003,"Rice",2974638,8952802,294429669.22,713913.12,2.7,826,"South"
"Tripura",2003,"Rice",257440,616820,25481411.2,61785.6,2.31,2487.9,"North-east"
"Uttar Pradesh",2003,"Rice",5727772,12494939,566934872.52,1374665.28,2.112892857,1075.6,"North"
"West Bengal",2003,"Rice",5856607,14662239,579686960.84,1405585.68,2.43148148133333,1526.7,"East"
"Himachal Pradesh",2003,"Rice",81335,120624,8050538.3,19520.4,1.469090909,1112.6,"North"
"Jammu and Kashmir",2003,"Rice",259815,504797,25716488.7,62355.6,1.870833333,1430.3,"North"
"Bihar",2003,"Rice",3768224,5718627,372978811.5,904373.76,1.33565632825,1353.9,"East"
"Uttarakhand",2003,"Rice",277326,541957,27449727.48,66558.24,2.6503846155,1734.3,"North"
"Jharkhand",2003,"Rice",2051720.69,1943353,203079313.9,492412.9656,0.869318182,1258.3,"East"
"Arunachal Pradesh",2003,"Rice",119205,154589,11798910.9,28609.2,1.201333333,2782.2,"North-east"
"Goa",2003,"Rice",52801,170661,5226242.98,12672.24,3.21,3011.6,"West"
"Sikkim",2003,"Rice",14740,21190,1458965.2,3537.6,1.4275,2838.1,"North-east"
"Andhra Pradesh",2004,"Rice",3086202,9601045,334359124.7,648102.42,2.7752272725,781.8,"South"
"Assam",2004,"Rice",2383731,3470750,258253416.54,500583.51,1.37260869566667,2536.9,"North-east"
"Chhattisgarh",2004,"Rice",3843825,4586818,416440000.5,807203.25,1.160625,1122.8,"Central"
"Delhi",2004,"Rice",8431,28216,913414.54,1770.51,3.35,651.9,"North"
"Gujarat",2004,"Rice",679400,1196500,73606196,142674,2.2084583335,719.8,"West"
"Haryana",2004,"Rice",1024236,3010000,110965728.2,215089.56,2.832777778,484.6,"North"
"Karnataka",2004,"Rice",1308179,3707122,141728112.82,274717.59,3.336777778,1117.7,"South"
"Kerala",2004,"Rice",289974,667105,31415783.16,60894.54,2.234725275,2880.2,"South"
"Madhya Pradesh",2004,"Rice",1675513,1302615,181525078.4,351857.73,0.803541667,895.7,"Central"
"Maharashtra",2004,"Rice",1508700,2147200,163452558,316827,1.742951613,1052,"West"
"Manipur",2004,"Rice",176310,435930,19101425.4,37025.1,2.327777778,1613.3,"North-east"
"Meghalaya",2004,"Rice",111550,193719,12085327,23425.5,1.788015873,4767.9,"North-east"
"Mizoram",2004,"Rice",57085,107660,6184588.9,11987.85,1.9225,2640.8,"North-east"
"Nagaland",2004,"Rice",154000,261750,16684360,32340,1.823125,1711.5,"North-east"
"Odisha",2004,"Rice",4492000,6536000,486663280,943320,1.476493827,1290.4,"East"
"Puducherry",2004,"Rice",24822,61036,2689215.48,5212.62,2.76444444433333,1434.5875,"South"
"Punjab",2004,"Rice",2800000,10437000,303352000,588000,3.788823529,366.4,"North"
"Tamil Nadu",2004,"Rice",1872822,5061622,202901535.5,393292.62,3.015172414,1034,"South"
"Telangana",2004,"Rice",3086202,9601045,334359124.7,648102.42,2.7752272725,781.8,"South"
"Tripura",2004,"Rice",256076,602221,27743273.84,53775.96,2.24,2706.3,"North-east"
"Uttar Pradesh",2004,"Rice",5934405,10749989,642933437.7,1246225.05,1.827714286,704,"North"
"West Bengal",2004,"Rice",5783613,14884889,626596632.48,1214558.73,2.41037037033333,1612.9,"East"
"Himachal Pradesh",2004,"Rice",79519,109129,8615088.46,16698.99,1.454545455,939.2,"North"
"Jammu and Kashmir",2004,"Rice",250044,492732,27089766.96,52509.24,1.838333333,1032.1,"North"
"Bihar",2004,"Rice",3140116,2472156,340200167.48,659424.36,0.957553606,1147.8,"East"
"Uttarakhand",2004,"Rice",288975,560243,31307551.5,60684.75,2.283653846,1219.6,"North"
"Jharkhand",2004,"Rice",1134251.31,1006373,122884786.93,238192.7751,0.782,1149.2,"East"
"Arunachal Pradesh",2004,"Rice",121642,134950,13178694.28,25544.82,1.080625,2939.5,"North-east"
"Goa",2004,"Rice",52442,145174,5681566.28,11012.82,2.75,2518,"West"
"Sikkim",2004,"Rice",9070,21610,982643.8,1904.7,4.7875,1650.5,"North-east"
"Andhra Pradesh",2005,"Rice",3981751,11703624,477491580,836167.71,2.840681818,1075.5,"South"
"Assam",2005,"Rice",2420327,3552438,290245613.84,508268.67,1.424169041,2184.6,"North-east"
"Chhattisgarh",2005,"Rice",3854352,5267537,462213891.8,809413.92,1.30375,1292.7,"Central"
"Delhi",2005,"Rice",7506,21092,900119.52,1576.26,2.81,653.1,"North"
"Gujarat",2005,"Rice",672900,1283600,80694168,141309,2.448784722,942.4,"West"
"Haryana",2005,"Rice",1046588,3194000,125506833,219783.48,2.940526316,516.9,"North"
"Karnataka",2005,"Rice",1485181,3999246,178102905.56,311888.01,2.59717654333333,1316.2,"South"
"Kerala",2005,"Rice",275742,629987,33066980.64,57905.82,2.21064102566667,3030.9,"South"
"Madhya Pradesh",2005,"Rice",1700446,1687475,203917484.3,357093.66,0.881041667,1032.7,"Central"
"Maharashtra",2005,"Rice",1512500,2669000,181379000,317625,1.6113333335,1387.2,"West"
"Manipur",2005,"Rice",166260,386070,19937899.2,34914.6,2.238888889,1585.4,"North-east"
"Meghalaya",2005,"Rice",106071,208277,12720034.32,22274.91,1.93785714266667,3374.4,"North-east"
"Mizoram",2005,"Rice",56460,107740,6770683.2,11856.6,1.9425,2075.4,"North-east"
"Nagaland",2005,"Rice",156400,263100,18755488,32844,1.85125,1568.6,"North-east"
"Odisha",2005,"Rice",4479000,6858000,537121680,940590,1.56536507933333,1503.4,"East"
"Puducherry",2005,"Rice",22925,53617,2749166,4814.25,2.435,1434.5875,"South"
"Punjab",2005,"Rice",2642000,10193000,316828640,554820,3.820588235,566.7,"North"
"Tamil Nadu",2005,"Rice",2050455,5209433,245890563.6,430595.55,2.895517241,1364.1,"South"
"Telangana",2005,"Rice",3981751,11703624,477491580,836167.71,2.840681818,1075.5,"South"
"Tripura",2005,"Rice",253067,602947,30347794.64,53144.07,2.305,1765.9,"North-east"
"Uttar Pradesh",2005,"Rice",5571524,11119095,668137158.1,1170020.04,1.951714286,751.9,"North"
"West Bengal",2005,"Rice",5782949,14510742,693491244.08,1214419.29,2.400185185,1650.1,"East"
"Himachal Pradesh",2005,"Rice",79366,112139,9517570.72,16666.86,1.396363636,1248.1,"North"
"Jammu and Kashmir",2005,"Rice",259014,556774,31060958.88,54392.94,2.040833333,1721.8,"North"
"Bihar",2005,"Rice",3251236,3709285,389888221.08,682759.56,1.10083771933333,907.8,"East"
"Uttarakhand",2005,"Rice",284430,569166,34108845.6,59730.3,2.755,1353.3,"North"
"Jharkhand",2005,"Rice",1104098.11,614025,132403445.37,231860.6031,0.5446103895,965.2,"East"
"Arunachal Pradesh",2005,"Rice",122267,146191,14662258.64,25676.07,1.16125,2767,"North-east"
"Goa",2005,"Rice",52177,147236,6257065.84,10957.17,2.81,3392.8,"West"
"Sikkim",2005,"Rice",9790,23690,1174016.8,2055.9,5.3425,2041.6,"North-east"
"Andhra Pradesh",2006,"Rice",3977890,11872130,508016331.9,875135.8,2.8629545455,845.2,"South"
"Assam",2006,"Rice",2196559,2916014,280522549.92,483242.98,1.378148148,1774.9,"North-east"
"Chhattisgarh",2006,"Rice",3905319,5441525,498748289.5,859170.18,1.247222222,1317.2,"Central"
"Delhi",2006,"Rice",7381,20815,942627.51,1623.82,2.82,462.7,"North"
"Gujarat",2006,"Rice",689300,1141200,88030503,151646,2.228715278,1056.2,"West"
"Haryana",2006,"Rice",1042036,3371000,133078417.6,229247.92,2.8545,329.3,"North"
"Karnataka",2006,"Rice",1395676,3645526,178241781.95,307048.72,2.481993827,1146.3,"South"
"Kerala",2006,"Rice",263529,641575,33655288.59,57976.38,2.35168498166667,3429.7,"South"
"Madhya Pradesh",2006,"Rice",1674013,1389269,213788200.2,368282.86,0.856666667,1072.3,"Central"
"Maharashtra",2006,"Rice",1529300,2569700,195306903,336446,1.6711666665,1439.4,"West"
"Manipur",2006,"Rice",165370,389170,21119402.7,36381.4,2.276666667,1533.561905,"North-east"
"Meghalaya",2006,"Rice",104285,200209,13318237.35,22942.7,1.857142857,2454.7,"North-east"
"Mizoram",2006,"Rice",52851,29464,6749601.21,11627.22,1.01625,2353,"North-east"
"Nagaland",2006,"Rice",164680,263520,21031282.8,36229.6,1.6,1362.5,"North-east"
"Odisha",2006,"Rice",4451000,6823000,568437210,979220,1.549706349,1716.9,"East"
"Puducherry",2006,"Rice",21645,60808,2764282.95,4761.9,3.24666666666667,1434.5875,"South"
"Punjab",2006,"Rice",2621000,10138000,334727910,576620,3.75,569.6,"North"
"Tamil Nadu",2006,"Rice",1931397,6610607,246658710.9,424907.34,3.584827586,927.9,"South"
"Telangana",2006,"Rice",3977890,11872130,508016331.9,875135.8,2.8629545455,845.2,"South"
"Tripura",2006,"Rice",250939,628200,32047419.69,55206.58,2.4225,1764.3,"North-east"
"Uttar Pradesh",2006,"Rice",5920752,11123613,756139237.95,1302565.44,1.9205,590.5,"North"
"West Bengal",2006,"Rice",5687028,14745892,726290345.89,1251146.16,2.44055555566667,1631.4,"East"
"Himachal Pradesh",2006,"Rice",79206,123485,10115398.26,17425.32,1.750909091,1207,"North"
"Jammu and Kashmir",2006,"Rice",252516,554258,32248818.36,55553.52,2.060833333,1786.5,"North"
"Bihar",2006,"Rice",3364010,5027947,429617717.09,740082.2,1.29895187533333,1052.8,"East"
"Uttarakhand",2006,"Rice",283585,571336,36216640.35,62388.7,2.3951923075,1178.9,"North"
"Jharkhand",2006,"Rice",1179218.42,1429946,150597984.44,259428.0524,1.2413636365,1465.1,"East"
"Arunachal Pradesh",2006,"Rice",123038,144635,15713182.98,27068.36,1.151875,1940,"North-east"
"Goa",2006,"Rice",52985,128945,6766714.35,11656.7,2.41,2928.8,"West"
"Sikkim",2006,"Rice",9200,21450,1174932,2024,4.84,2270.2,"North-east"
"Andhra Pradesh",2007,"Rice",3984000,13324000,531465600,637440,3.126818182,1004.2,"South"
"Assam",2007,"Rice",2323996,3318608,310021066.4,371839.36,1.51271604966667,2154.1,"North-east"
"Chhattisgarh",2007,"Rice",3902881,5634972,520644325.4,624460.96,1.393888889,1246.2,"Central"
"Delhi",2007,"Rice",7419,20946,989694.6,1187.04,2.82,677.5,"North"
"Gujarat",2007,"Rice",758600,1474200,101197240,121376,2.4379166665,1021.6,"West"
"Haryana",2007,"Rice",1072545,3606000,143077503,171607.2,3.191578947,443.8,"North"
"Karnataka",2007,"Rice",1416316,3868515,188936554.4,226610.56,2.55661420566667,1323.3,"South"
"Kerala",2007,"Rice",228938,528488,30540329.2,36630.08,2.21952380966667,3489.6,"South"
"Madhya Pradesh",2007,"Rice",1634912,1325175,218097260.8,261585.92,0.875,740.4,"Central"
"Maharashtra",2007,"Rice",1576700,3011500,210331780,252272,1.9316206895,1257.2,"West"
"Manipur",2007,"Rice",166150,406150,22164410,26584,2.378888889,1435.7,"North-east"
"Meghalaya",2007,"Rice",106320,200077,14183088,17011.2,1.77809523833333,4702,"North-east"
"Mizoram",2007,"Rice",54541,15688,7275769.4,8726.56,0.76325,3095.2,"North-east"
"Nagaland",2007,"Rice",167500,311300,22344500,26800,1.74375,1769,"North-east"
"Odisha",2007,"Rice",4452000,7540000,593896800,712320,1.64626190466667,1633.8,"East"
"Puducherry",2007,"Rice",20437,53324,2726295.8,3269.92,2.738888889,1434.5875,"South"
"Punjab",2007,"Rice",2610000,10489000,348174000,417600,3.968,527.2,"North"
"Tamil Nadu",2007,"Rice",1789170,5039954,238675278,286267.2,3.213793103,1067.2,"South"
"Telangana",2007,"Rice",3984000,13324000,531465600,637440,3.126818182,1004.2,"South"
"Tripura",2007,"Rice",252897,640424,33736459.8,40463.52,2.4375,2831.8,"North-east"
"Uttar Pradesh",2007,"Rice",5709388,11780112,761632359.2,913502.08,2.0570714285,672.9,"North"
"West Bengal",2007,"Rice",5719755,14719520,763015317,915160.8,2.42222222233333,2007.5,"East"
"Himachal Pradesh",2007,"Rice",78571,121453,10481371.4,12571.36,1.686363636,1095.4,"North"
"Jammu and Kashmir",2007,"Rice",263246,561355,35117016.4,42119.36,1.9745,1042.2,"North"
"Bihar",2007,"Rice",3477371,4458764,463881291.4,556379.36,1.098152047,1600.2,"East"
"Uttarakhand",2007,"Rice",272169,565067,36307344.6,43547.04,2.566282051,1924.3,"North"
"Jharkhand",2007,"Rice",1198054.31,1470624,159820444.98,191688.6896,1.1027056275,1444.7,"East"
"Arunachal Pradesh",2007,"Rice",124029,158146,16545468.6,19844.64,1.225625,3223.9,"North-east"
"Goa",2007,"Rice",52191,121679,6962279.4,8350.56,2.32,3674.7,"West"
"Sikkim",2007,"Rice",11860,19480,1582124,1897.6,1.5475,2003.4,"North-east"
"Andhra Pradesh",2008,"Rice",4387216,14241133,627547376.6,394849.44,3.075227273,944.6,"South"
"Assam",2008,"Rice",2484126,4008435,355329383,223571.34,1.558779677,2109.9,"North-east"
"Chhattisgarh",2008,"Rice",3928815,4707499,561977697.6,353593.35,1.198333333,1117.9,"Central"
"Delhi",2008,"Rice",7039,19873,1006858.56,633.51,2.82,614.6,"North"
"Gujarat",2008,"Rice",747300,1302900,106893792,67257,2.2682026145,746.1,"West"
"Haryana",2008,"Rice",1211149,3299000,173242753,109003.41,2.569,715.6,"North"
"Karnataka",2008,"Rice",1513987,4031539,216560700.46,136258.83,2.60484600666667,1164.1,"South"
"Kerala",2008,"Rice",234265,590241,33509265.6,21083.85,2.334175824,2524.8,"South"
"Madhya Pradesh",2008,"Rice",1706557,1571103,244105913.3,153590.13,0.911020408,895,"Central"
"Maharashtra",2008,"Rice",1521500,2287500,217635360,136935,1.795925926,1052.8,"West"
"Manipur",2008,"Rice",210990,518250,30180009.6,18989.1,2.134444444,1134.8,"North-east"
"Meghalaya",2008,"Rice",108045,203862,15454756.8,9724.05,1.829047619,3114.3,"North-east"
"Mizoram",2008,"Rice",51990,68917,7436649.6,4679.1,1.880625,1912.1,"North-east"
"Nagaland",2008,"Rice",173100,345090,24760224,15579,1.964545455,1540.9,"North-east"
"Odisha",2008,"Rice",4455000,6812000,637243200,400950,1.553004884,1539,"East"
"Puducherry",2008,"Rice",20780,50716,2972371.2,1870.2,2.64833333333333,1434.5875,"South"
"Punjab",2008,"Rice",2735000,1.1e+07,391214400,246150,3.9855,691.3,"North"
"Tamil Nadu",2008,"Rice",1931603,5183385,276296493.1,173844.27,3.562580645,1201.9,"South"
"Telangana",2008,"Rice",4387216,14241133,627547376.6,394849.44,3.075227273,944.6,"South"
"Tripura",2008,"Rice",242966,627175,34753856.64,21866.94,2.525,1827.8,"North-east"
"Uttar Pradesh",2008,"Rice",6033382,13097031,863014961.24,543004.38,2.1097142855,891.6,"North"
"West Bengal",2008,"Rice",5935696,15037240,849041955.86,534212.64,2.36018518533333,1560.1,"East"
"Himachal Pradesh",2008,"Rice",77709,118277,11115495.36,6993.81,1.6,1357.1,"North"
"Jammu and Kashmir",2008,"Rice",0,0,0,0,0,0,"North"
"Bihar",2008,"Rice",3495273,5589982,499963849.92,314574.57,1.47237810066667,1197.7,"East"
"Uttarakhand",2008,"Rice",288365,568321,41247729.6,25952.85,2.363846154,1363.7,"North"
"Jharkhand",2008,"Rice",1196859.49,1496580,171198781.48,107717.3541,1.129972826,1295.2,"East"
"Arunachal Pradesh",2008,"Rice",126799,164538,18137328.96,11411.91,1.183125,2244.4,"North-east"
"Goa",2008,"Rice",49326,121867,7055591.04,4439.34,2.54,3271.6,"West"
"Sikkim",2008,"Rice",13000,22230,1859520,1170,1.5925,2247.5,"North-east"
"Andhra Pradesh",2009,"Rice",3440736,10838267,536135483.5,584925.12,2.9447727275,711,"South"
"Assam",2009,"Rice",2497596,4408424,389175408.74,424591.32,1.58506172866667,1727.1,"North-east"
"Chhattisgarh",2009,"Rice",3837610,4347316,597976390.2,652393.7,1.106666667,956.9,"Central"
"Delhi",2009,"Rice",6821,19008,1062848.22,1159.57,2.79,528.4,"North"
"Gujarat",2009,"Rice",679500,1293000,105879690,115515,2.363986928,618,"West"
"Haryana",2009,"Rice",1206435,3628000,187986701.7,205093.95,2.673809524,393,"North"
"Karnataka",2009,"Rice",1486478,3877407,231623001.94,252701.26,2.540506926,1321,"South"
"Kerala",2009,"Rice",234013,598339,36463905.66,39782.21,2.32483516466667,2821.5,"South"
"Madhya Pradesh",2009,"Rice",1593071,1355660,248232323.2,270822.07,0.906041667,904.1,"Central"
"Maharashtra",2009,"Rice",1470600,2185800,229148892,250002,1.67859127,1002.4,"West"
"Manipur",2009,"Rice",113890,265090,17746339.8,19361.3,1.923333333,992.5,"North-east"
"Meghalaya",2009,"Rice",108162,204129,16853802.84,18387.54,1.839047619,2995.9,"North-east"
"Mizoram",2009,"Rice",47204,66131,7355327.28,8024.68,1.65875,2086.3,"North-east"
"Nagaland",2009,"Rice",168570,240310,26266577.4,28656.9,1.393636364,1225.9,"North-east"
"Odisha",2009,"Rice",4365000,6913000,680154300,742050,1.58779236833333,1330.3,"East"
"Puducherry",2009,"Rice",20926,52330,3260689.32,3557.42,2.587222222,1434.5875,"South"
"Punjab",2009,"Rice",2802000,11236000,436607640,476340,3.9775,371.3,"North"
"Tamil Nadu",2009,"Rice",1845553,5665258,287574068.5,313744.01,3.539677419,928.5,"South"
"Telangana",2009,"Rice",3440736,10838267,536135483.5,584925.12,2.9447727275,711,"South"
